ProductId	ProductIdCoPurchased
SP00001	SP00011
SP00001	SP00013
SP00001	SP00017
SP00001	SP00015
SP00001	SP00020
SP00001	SP00017
SP00001	SP00007
SP00002	SP00022
SP00002	SP00016
SP00002	SP00014
SP00002	SP00015
SP00002	SP00024
SP00002	SP00015
SP00003	SP00010
SP00003	SP00022
SP00003	SP00023
SP00003	SP00024
SP00003	SP00011
SP00003	SP00011
SP00003	SP00009
SP00003	SP00006
SP00003	SP00021
SP00003	SP00016
SP00003	SP00006
SP00003	SP00013
SP00003	SP00002
SP00004	SP00014
SP00004	SP00014
SP00004	SP00014
SP00004	SP00005
SP00004	SP00007
SP00004	SP00001
SP00004	SP00012
SP00004	SP00015
SP00004	SP00014
SP00005	SP00006
SP00005	SP00011
SP00005	SP00010
SP00005	SP00017
SP00005	SP00007
SP00005	SP00003
SP00005	SP00014
SP00005	SP00001
SP00005	SP00002
SP00006	SP00001
SP00006	SP00016
SP00006	SP00004
SP00006	SP00015
SP00006	SP00011
SP00006	SP00014
SP00006	SP00020
SP00007	SP00014
SP00008	SP00021
SP00008	SP00022
SP00008	SP00024
SP00008	SP00015
SP00008	SP00001
SP00008	SP00020
SP00008	SP00018
SP00008	SP00005
SP00008	SP00011
SP00008	SP00022
SP00008	SP00019
SP00008	SP00012
SP00008	SP00001
SP00008	SP00007
SP00008	SP00012
SP00008	SP00017
SP00008	SP00018
SP00008	SP00010
SP00009	SP00012
SP00009	SP00019
SP00009	SP00023
SP00009	SP00005
SP00009	SP00013
SP00009	SP00002
SP00009	SP00016
SP00009	SP00004
SP00009	SP00017
SP00009	SP00012
SP00009	SP00011
SP00009	SP00023
SP00009	SP00005
SP00009	SP00020
SP00009	SP00015
SP00009	SP00019
SP00009	SP00002
SP00010	SP00014
SP00010	SP00009
SP00010	SP00005
SP00010	SP00003
SP00010	SP00004
SP00010	SP00008
SP00011	SP00006
SP00011	SP00007
SP00011	SP00008
SP00011	SP00015
SP00011	SP00021
SP00011	SP00003
SP00011	SP00014
SP00011	SP00004
SP00011	SP00002
SP00011	SP00020
SP00011	SP00016
SP00011	SP00003
SP00011	SP00004
SP00012	SP00007
SP00012	SP00003
SP00012	SP00010
SP00012	SP00019
SP00012	SP00011
SP00013	SP00003
SP00013	SP00007
SP00013	SP00011
SP00013	SP00005
SP00013	SP00006
SP00013	SP00003
SP00013	SP00005
SP00013	SP00023
SP00013	SP00019
SP00013	SP00005
SP00013	SP00003
SP00013	SP00009
SP00013	SP00009
SP00013	SP00010
SP00013	SP00001
SP00013	SP00022
SP00013	SP00002
SP00013	SP00007
SP00014	SP00018
SP00014	SP00015
SP00014	SP00013
SP00014	SP00022
SP00014	SP00017
SP00014	SP00016
SP00014	SP00010
SP00014	SP00009
SP00014	SP00019
SP00014	SP00024
SP00014	SP00024
SP00014	SP00013
SP00014	SP00002
SP00015	SP00007
SP00015	SP00004
SP00015	SP00016
SP00015	SP00014
SP00015	SP00021
SP00015	SP00003
SP00015	SP00012
SP00015	SP00024
SP00015	SP00009
SP00015	SP00004
SP00015	SP00014
SP00016	SP00001
SP00016	SP00012
SP00016	SP00019
SP00016	SP00021
SP00016	SP00012
SP00016	SP00019
SP00016	SP00021
SP00016	SP00024
SP00016	SP00010
SP00016	SP00021
SP00016	SP00008
SP00017	SP00011
SP00017	SP00007
SP00017	SP00014
SP00017	SP00012
SP00018	SP00016
SP00018	SP00012
SP00018	SP00010
SP00018	SP00019
SP00019	SP00020
SP00019	SP00024
SP00019	SP00003
SP00019	SP00016
SP00019	SP00022
SP00019	SP00022
SP00019	SP00009
SP00019	SP00013
SP00019	SP00023
SP00019	SP00003
SP00019	SP00001
SP00019	SP00024
SP00019	SP00009
SP00019	SP00016
SP00019	SP00008
SP00019	SP00016
SP00020	SP00024
SP00020	SP00010
SP00020	SP00015
SP00020	SP00019
SP00020	SP00004
SP00020	SP00014
SP00021	SP00020
SP00021	SP00009
SP00021	SP00006
SP00021	SP00018
SP00021	SP00014
SP00021	SP00011
SP00022	SP00015
SP00022	SP00010
SP00022	SP00003
SP00022	SP00011
SP00022	SP00014
SP00022	SP00012
SP00022	SP00014
SP00022	SP00014
SP00022	SP00017
SP00022	SP00023
SP00023	SP00016
SP00023	SP00011
SP00023	SP00020
SP00023	SP00005
SP00023	SP00016
SP00023	SP00017
SP00023	SP00022
SP00023	SP00006
SP00023	SP00004
SP00023	SP00006
SP00023	SP00018
SP00023	SP00017
SP00023	SP00015
SP00023	SP00010
SP00023	SP00003
SP00023	SP00015
SP00024	SP00008
SP00024	SP00010
SP00024	SP00019
SP00024	SP00017
SP00024	SP00006
SP00024	SP00011
SP00024	SP00021
SP00024	SP00008
SP00024	SP00023
SP00024	SP00023
SP00024	SP00012
SP00024	SP00021
SP00024	SP00010
